slug,path,cluster,priority,title,primary_keyword,status,publish_date,refresh_due,gsc_clicks_30d,gsc_clicks_90d,notes
mens-wedding-bands,/blog/mens-wedding-bands/,11 Bands,P2,"Men's wedding bands: metals, widths, custom options",mens wedding bands,backlog,,,,,
stacking-wedding-bands,/blog/stacking-wedding-bands/,11 Bands,P2,Stacking bands and ring stacks,stacking wedding bands,backlog,,,,,
anniversary-rings,/blog/anniversary-rings/,11 Bands,P2,"Anniversary rings: what to buy at 1, 5, 10 and 25 years",anniversary ring,backlog,,,,,
plain-gold-wedding-bands,/blog/plain-gold-wedding-bands/,11 Bands,P3,Plain gold wedding bands: 14k vs 18k vs platinum,plain gold wedding band,backlog,,,,,
engraved-wedding-bands,/blog/engraved-wedding-bands/,11 Bands,P3,Engraved wedding bands: hand vs machine,engraved wedding band custom,backlog,,,,,
solder-wedding-band-to-engagement-ring,/blog/solder-wedding-band-to-engagement-ring/,11 Bands,P3,Can you solder a wedding band to an engagement ring?,solder wedding band to engagement ring,backlog,,,,,
ring-size-guide,/ring-size-guide/,12 Reference,P1,Ring size chart and guide (hub),ring size chart,backlog,,,,,
measure-ring-size-at-home,/ring-size-guide/measure-ring-size-at-home/,12 Reference,P2,How to measure ring size at home,how to measure ring size at home,backlog,,,,,
average-ring-size,/ring-size-guide/average-ring-size/,12 Reference,P2,Average ring size for women and men,average ring size,backlog,,,,,
ring-size-changes,/ring-size-guide/ring-size-changes/,12 Reference,P2,How ring size changes with weather and weight,ring size changes,backlog,,,,,
wide-band-sizing,/ring-size-guide/wide-band-sizing/,12 Reference,P2,Sizing for wide bands and comfort fit,wide band ring sizing,backlog,,,,,
diamond-guide,/diamond-guide/,12 Reference,P2,Diamond 4Cs guide (hub),diamond 4cs,backlog,,,,,
diamond-color-chart,/diamond-guide/diamond-color-chart/,12 Reference,P2,Diamond color chart,diamond color chart,backlog,,,,,
diamond-clarity-chart,/diamond-guide/diamond-clarity-chart/,12 Reference,P2,Diamond clarity chart,diamond clarity chart,backlog,,,,,
diamond-cut-grade,/diamond-guide/diamond-cut-grade/,12 Reference,P2,Diamond cut grade explained,diamond cut grade,backlog,,,,,
carat-size-on-hand,/diamond-guide/carat-size-on-hand/,12 Reference,P2,Carat size chart on a real hand,1.5 carat diamond on hand,backlog,,,,,
carat-to-mm-chart,/diamond-guide/carat-to-mm-chart/,12 Reference,P2,Carat to mm chart by shape,carat to mm chart,backlog,,,,,
how-to-read-gia-report,/diamond-guide/how-to-read-gia-report/,12 Reference,P2,How to read a GIA report,how to read gia certificate,backlog,,,,,
how-to-read-igi-report,/diamond-guide/how-to-read-igi-report/,12 Reference,P2,How to read an IGI report,igi certificate explained,backlog,,,,,
diamond-inscription-lookup,/diamond-guide/diamond-inscription-lookup/,12 Reference,P2,Laser inscription lookup,diamond inscription lookup,backlog,,,,,
diamond-price-per-carat-chart,/diamond-guide/diamond-price-per-carat-chart/,12 Reference,P2,Diamond price per carat chart,diamond price per carat,backlog,,,,,
diamond-fluorescence,/diamond-guide/diamond-fluorescence/,12 Reference,P2,Fluorescence explained,diamond fluorescence,backlog,,,,,
hearts-and-arrows,/diamond-guide/hearts-and-arrows/,12 Reference,P2,Hearts and arrows and ideal cut,hearts and arrows diamond,backlog,,,,,
bow-tie-effect,/diamond-guide/bow-tie-effect/,12 Reference,P2,The bow-tie effect,bow tie effect diamond,backlog,,,,,
metals,/metals/,12 Reference,P2,Metals guide (hub),engagement ring metals,backlog,,,,,
platinum-vs-white-gold,/metals/platinum-vs-white-gold/,12 Reference,P2,Platinum vs white gold,platinum vs white gold,backlog,,,,,
14k-vs-18k-gold,/metals/14k-vs-18k-gold/,12 Reference,P2,14k vs 18k gold,14k vs 18k gold ring,backlog,,,,,
yellow-gold-engagement-rings,/metals/yellow-gold-engagement-rings/,12 Reference,P2,Yellow gold engagement rings,yellow gold engagement ring,backlog,,,,,
rose-gold-engagement-rings,/metals/rose-gold-engagement-rings/,12 Reference,P2,Rose gold engagement rings,rose gold engagement ring,backlog,,,,,
recycled-gold,/metals/recycled-gold/,12 Reference,P2,What recycled gold means,recycled gold jewelry,backlog,,,,,
hypoallergenic-rings,/metals/hypoallergenic-rings/,12 Reference,P2,Nickel allergy and hypoallergenic rings,hypoallergenic engagement ring,backlog,,,,,
glossary,/glossary/,12 Reference,P2,"Jewelry glossary (hub, 60 to 80 terms)",jewelry terms glossary,backlog,,,,,
engagement-ring-trends,/engagement-ring-trends/,13 News,P1,Engagement ring trends 2027 (annual URL),engagement ring trends 2027,backlog,,2027-10-01,,,
black-friday-jewelry-sales,/blog/black-friday-jewelry-sales/,13 News,P1,Black Friday jewelry sales: what discounts are real,black friday engagement ring deals,backlog,,2027-10-01,,,
engagement-season,/blog/engagement-season/,13 News,P2,Engagement season explained,engagement season,backlog,,,,,
signet-blue-nile-james-allen-merger,/blog/signet-blue-nile-james-allen-merger/,13 News,P2,What the Signet / Blue Nile / James Allen consolidation means for shoppers,james allen blue nile merger,backlog,,,,,
gia-lab-grown-grading-change,/blog/gia-lab-grown-grading-change/,13 News,P2,GIA's lab grown grading change explained,gia lab grown grading,backlog,,,,,
engagement-ring-spending-survey,/blog/engagement-ring-spending-survey/,14 Data studies,P2,What Americans actually spend on engagement rings in 2026 (survey),how much do people spend on engagement rings,backlog,,,,,
engagement-ring-markup-study,/blog/engagement-ring-markup-study/,14 Data studies,P2,The engagement ring markup study (quarterly),engagement ring markup,backlog,,,,,
cheap-lab-diamond-quality-audit,/blog/cheap-lab-diamond-quality-audit/,14 Data studies,P3,Lab diamond quality audit: 30 stones at the lowest prices,cheap lab diamonds quality,backlog,,,,,
custom-tennis-bracelet,/blog/custom-tennis-bracelet/,9 Beyond rings,P3,Custom tennis bracelets,custom tennis bracelet,backlog,,,,,
lab-diamond-studs-by-budget,/blog/lab-diamond-studs-by-budget/,9 Beyond rings,P3,Lab diamond studs by budget,lab diamond studs,backlog,,,,,
custom-pendant,/blog/custom-pendant/,9 Beyond rings,P3,Custom pendants and necklaces,custom diamond pendant,backlog,,,,,
rings,/rings/,Case studies,P1,Portfolio / case studies (hub),custom engagement ring examples,backlog,,,,,
